textbox22
generated on 02/12/2018 15:14:35 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Chile,Region of the Americas of WHO,Temperate South America,2000,1,2000-01-03,2000-01-09,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,2,2000-01-10,2000-01-16,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,3,2000-01-17,2000-01-23,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,4,2000-01-24,2000-01-30,,,,,,,,0,,,1,1,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,5,2000-01-31,2000-02-06,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,6,2000-02-07,2000-02-13,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,7,2000-02-14,2000-02-20,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,8,2000-02-21,2000-02-27,,,,,,,1,1,,,0,0,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,9,2000-02-28,2000-03-05,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,10,2000-03-06,2000-03-12,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,11,2000-03-13,2000-03-19,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,12,2000-03-20,2000-03-26,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,13,2000-03-27,2000-04-02,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,14,2000-04-03,2000-04-09,,15,1,,,,1,2,,,0,0,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,15,2000-04-10,2000-04-16,,62,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,16,2000-04-17,2000-04-23,,81,,,,,1,1,,,0,0,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,17,2000-04-24,2000-04-30,,,1,,,,2,3,,,0,0,3,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,18,2000-05-01,2000-05-07,,,1,,,,2,3,,,0,0,3,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,19,2000-05-08,2000-05-14,,130,1,,,,4,5,,,0,0,5,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,20,2000-05-15,2000-05-21,,163,5,,,,11,16,,,0,0,16,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,21,2000-05-22,2000-05-28,,256,10,,,,5,15,,,0,0,15,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,22,2000-05-29,2000-06-04,,667,11,,,,13,24,,,0,0,24,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2000,23,2000-06-05,2000-06-11,,736,14,,2,,16,32,,,0,0,32,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2000,24,2000-06-12,2000-06-18,,638,16,,,,17,33,,,0,0,33,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2000,25,2000-06-19,2000-06-25,,,11,,,,27,38,,,0,0,38,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2000,26,2000-06-26,2000-07-02,,,16,,,,23,39,,,1,1,40,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2000,27,2000-07-03,2000-07-09,,,26,,1,,17,44,,,2,2,46,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2000,28,2000-07-10,2000-07-16,,,14,,,,10,24,,,1,1,25,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2000,29,2000-07-17,2000-07-23,,,9,,,,12,21,,,2,2,23,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2000,30,2000-07-24,2000-07-30,,,9,,,,1,10,,,0,0,10,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,31,2000-07-31,2000-08-06,,,,,,,2,2,,,1,1,3,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,32,2000-08-07,2000-08-13,,,3,,,,9,12,,,0,0,12,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,33,2000-08-14,2000-08-20,,,,,,,4,4,,,0,0,4,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,34,2000-08-21,2000-08-27,,,1,,,,5,6,,,0,0,6,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,35,2000-08-28,2000-09-03,,,,,,,5,5,,,0,0,5,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,36,2000-09-04,2000-09-10,,,,,,,1,1,,,0,0,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,37,2000-09-11,2000-09-17,,,,,,,,0,,,0,0,0,,No Report
Chile,Region of the Americas of WHO,Temperate South America,2000,38,2000-09-18,2000-09-24,,,2,,,,1,3,,,0,0,3,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,39,2000-09-25,2000-10-01,,,,,,,1,1,,,0,0,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,40,2000-10-02,2000-10-08,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,41,2000-10-09,2000-10-15,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,42,2000-10-16,2000-10-22,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,43,2000-10-23,2000-10-29,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,44,2000-10-30,2000-11-05,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,45,2000-11-06,2000-11-12,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,46,2000-11-13,2000-11-19,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,47,2000-11-20,2000-11-26,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,48,2000-11-27,2000-12-03,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2000,49,2000-12-04,2000-12-10,,,,,,,1,1,,,0,0,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,50,2000-12-11,2000-12-17,,,,,,,,0,,,1,1,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2000,52,2000-12-25,2000-12-31,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,1,2001-01-01,2001-01-07,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,2,2001-01-08,2001-01-14,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,3,2001-01-15,2001-01-21,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,4,2001-01-22,2001-01-28,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,5,2001-01-29,2001-02-04,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,6,2001-02-05,2001-02-11,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,7,2001-02-12,2001-02-18,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,8,2001-02-19,2001-02-25,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,9,2001-02-26,2001-03-04,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,10,2001-03-05,2001-03-11,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,11,2001-03-12,2001-03-18,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,12,2001-03-19,2001-03-25,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,13,2001-03-26,2001-04-01,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,14,2001-04-02,2001-04-08,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,15,2001-04-09,2001-04-15,,,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2001,16,2001-04-16,2001-04-22,,,,,,,2,2,,,0,0,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,17,2001-04-23,2001-04-29,,,,,,,2,2,,,0,0,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,18,2001-04-30,2001-05-06,,,,,,,2,2,,,0,0,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,19,2001-05-07,2001-05-13,,,,,1,,8,9,,,0,0,9,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2001,20,2001-05-14,2001-05-20,,,,,6,,10,16,,,0,0,16,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2001,21,2001-05-21,2001-05-27,,,,,18,,30,48,,,1,1,49,,Regional Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2001,22,2001-05-28,2001-06-03,,,,,32,,59,91,,,1,1,92,,Widespread Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2001,23,2001-06-04,2001-06-10,,,,,51,,122,173,,,2,2,175,,Widespread Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2001,24,2001-06-11,2001-06-17,,,,,34,,151,185,,,2,2,187,,Widespread Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2001,25,2001-06-18,2001-06-24,,,,,40,,213,253,,,7,7,260,,Widespread Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2001,26,2001-06-25,2001-07-01,,,3,,25,,134,162,,,5,5,167,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2001,27,2001-07-02,2001-07-08,,,1,,14,,62,77,,,11,11,88,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2001,28,2001-07-09,2001-07-15,,,,,9,,39,48,,,15,15,63,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,29,2001-07-16,2001-07-22,,,,,5,,30,35,,,28,28,63,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,30,2001-07-23,2001-07-29,,,,,4,,21,25,,,24,24,49,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,31,2001-07-30,2001-08-05,,,,,5,,22,27,,,15,15,42,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,32,2001-08-06,2001-08-12,,,,,1,,27,28,,,16,16,44,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,33,2001-08-13,2001-08-19,,,,,,,12,12,,,17,17,29,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,34,2001-08-20,2001-08-26,,,,,,,4,4,,,10,10,14,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,35,2001-08-27,2001-09-02,,,,,,,,0,,,12,12,12,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,36,2001-09-03,2001-09-09,,,,,,,1,1,,,13,13,14,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,37,2001-09-10,2001-09-16,,,,,,,1,1,,,2,2,3,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,38,2001-09-17,2001-09-23,,,,,,,1,1,,,4,4,5,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,39,2001-09-24,2001-09-30,,,,,,,,0,,,3,3,3,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,40,2001-10-01,2001-10-07,,,,,,,2,2,,,0,0,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,41,2001-10-08,2001-10-14,,,,,,,1,1,,,1,1,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,42,2001-10-15,2001-10-21,,,,,,,1,1,,,1,1,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,43,2001-10-22,2001-10-28,,,,,,,,0,,,1,1,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,44,2001-10-29,2001-11-04,,,,,,,,0,,,2,2,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,45,2001-11-05,2001-11-11,,,,,,,,0,,,6,6,6,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,46,2001-11-12,2001-11-18,,,,,,,,0,,,3,3,3,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,47,2001-11-19,2001-11-25,,,,,,,,0,,,2,2,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,48,2001-11-26,2001-12-02,,,,,,,,0,,,3,3,3,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,49,2001-12-03,2001-12-09,,,,,,,,0,,,5,5,5,,No Report
Chile,Region of the Americas of WHO,Temperate South America,2001,50,2001-12-10,2001-12-16,,,,,,,,0,,,4,4,4,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,51,2001-12-17,2001-12-23,,,,,,,,0,,,2,2,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2001,52,2001-12-24,2001-12-30,,132,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,1,2001-12-31,2002-01-06,,156,,,,,,0,,,1,1,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,2,2002-01-07,2002-01-13,,178,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,3,2002-01-14,2002-01-20,,209,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,4,2002-01-21,2002-01-27,,155,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,5,2002-01-28,2002-02-03,,194,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,6,2002-02-04,2002-02-10,,177,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,7,2002-02-11,2002-02-17,,151,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,8,2002-02-18,2002-02-24,,123,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,9,2002-02-25,2002-03-03,,143,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,10,2002-03-04,2002-03-10,,170,,,,,,0,,,1,1,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,11,2002-03-11,2002-03-17,,192,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,12,2002-03-18,2002-03-24,,198,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,13,2002-03-25,2002-03-31,,214,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,14,2002-04-01,2002-04-07,,201,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,15,2002-04-08,2002-04-14,,238,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,16,2002-04-15,2002-04-21,,210,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,17,2002-04-22,2002-04-28,,238,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,18,2002-04-29,2002-05-05,,282,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,19,2002-05-06,2002-05-12,,325,1,,,,,1,,,0,0,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,20,2002-05-13,2002-05-19,,313,,,,,1,1,,,0,0,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,21,2002-05-20,2002-05-26,,334,,,,,1,1,,,0,0,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,22,2002-05-27,2002-06-02,,357,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,23,2002-06-03,2002-06-09,,413,,,,,1,1,,,0,0,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,24,2002-06-10,2002-06-16,,453,3,,,,3,6,,,0,0,6,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2002,25,2002-06-17,2002-06-23,,504,7,,,,4,11,,,0,0,11,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2002,26,2002-06-24,2002-06-30,,523,2,,,,3,5,,,0,0,5,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2002,27,2002-07-01,2002-07-07,,667,6,,,,4,10,,,0,0,10,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2002,28,2002-07-08,2002-07-14,,814,10,,,,9,19,,,1,1,20,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2002,29,2002-07-15,2002-07-21,,780,7,,,,9,16,,,0,0,16,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2002,30,2002-07-22,2002-07-28,,758,13,,,,7,20,,,1,1,21,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2002,31,2002-07-29,2002-08-04,,739,15,,,,5,20,,,0,0,20,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2002,32,2002-08-05,2002-08-11,,774,10,,,,9,19,,,0,0,19,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2002,33,2002-08-12,2002-08-18,,819,14,,,,12,26,,,1,1,27,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2002,34,2002-08-19,2002-08-25,,809,6,,,,5,11,,,5,5,16,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2002,35,2002-08-26,2002-09-01,,761,9,,,,9,18,,,3,3,21,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2002,36,2002-09-02,2002-09-08,,708,1,,,,5,6,,,4,4,10,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,37,2002-09-09,2002-09-15,,452,,,,,4,4,,,3,3,7,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,38,2002-09-16,2002-09-22,,587,1,,,,2,3,,,4,4,7,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,39,2002-09-23,2002-09-29,,373,,,,,,0,,,5,5,5,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,40,2002-09-30,2002-10-06,,455,,,,,1,1,,,1,1,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,41,2002-10-07,2002-10-13,,420,,,,,,0,,,4,4,4,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,42,2002-10-14,2002-10-20,,400,,,,,1,1,,,2,2,3,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,43,2002-10-21,2002-10-27,,306,,,,,,0,,,5,5,5,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,44,2002-10-28,2002-11-03,,352,,,,,,0,,,4,4,4,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,45,2002-11-04,2002-11-10,,336,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,46,2002-11-11,2002-11-17,,319,,,,,,0,,,2,2,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,47,2002-11-18,2002-11-24,,258,,,,,,0,,,2,2,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2002,48,2002-11-25,2002-12-01,,253,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,49,2002-12-02,2002-12-08,,226,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2002,50,2002-12-09,2002-12-15,,217,,,,,,0,,,0,0,0,,No Report
Chile,Region of the Americas of WHO,Temperate South America,2002,51,2002-12-16,2002-12-22,,178,,,,,,0,,,0,0,0,,No Report
Chile,Region of the Americas of WHO,Temperate South America,2002,52,2002-12-23,2002-12-29,,156,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,1,2002-12-30,2003-01-05,,157,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,2,2003-01-06,2003-01-12,,187,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,3,2003-01-13,2003-01-19,,157,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,4,2003-01-20,2003-01-26,,143,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,5,2003-01-27,2003-02-02,,154,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,6,2003-02-03,2003-02-09,,143,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,7,2003-02-10,2003-02-16,,139,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,8,2003-02-17,2003-02-23,,185,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,9,2003-02-24,2003-03-02,,168,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,10,2003-03-03,2003-03-09,,146,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,11,2003-03-10,2003-03-16,,204,,,1,,,1,,,0,0,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,12,2003-03-17,2003-03-23,,233,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,13,2003-03-24,2003-03-30,,237,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,14,2003-03-31,2003-04-06,,234,,,,,1,1,,,0,0,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,15,2003-04-07,2003-04-13,,219,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,16,2003-04-14,2003-04-20,,293,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,17,2003-04-21,2003-04-27,,298,,,2,,,2,,,0,0,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,18,2003-04-28,2003-05-04,,390,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,19,2003-05-05,2003-05-11,,387,,,3,,1,4,,,0,0,4,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,20,2003-05-12,2003-05-18,,388,,,2,,3,5,,,0,0,5,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,21,2003-05-19,2003-05-25,,439,,,2,,3,5,,,0,0,5,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,22,2003-05-26,2003-06-01,,415,,,4,,5,9,,,0,0,9,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,23,2003-06-02,2003-06-08,,434,,,10,,4,14,,,0,0,14,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2003,24,2003-06-09,2003-06-15,,464,,,9,,4,13,,,0,0,13,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2003,25,2003-06-16,2003-06-22,,605,0,,22,,21,43,,,0,0,43,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2003,26,2003-06-23,2003-06-29,,735,0,,33,,16,49,,,0,0,49,,Regional Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2003,27,2003-06-30,2003-07-06,,821,0,,50,,18,68,,,0,0,68,,Regional Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2003,28,2003-07-07,2003-07-13,,955,0,,37,,25,62,,,0,0,62,,Regional Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2003,29,2003-07-14,2003-07-20,,930,1,,34,,20,55,,,0,0,55,,Regional Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2003,30,2003-07-21,2003-07-27,,925,0,,21,,35,56,,,1,1,57,,Regional Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2003,31,2003-07-28,2003-08-03,,761,0,,17,,15,32,,,0,0,32,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2003,32,2003-08-04,2003-08-10,,581,,,8,,15,23,,,0,0,23,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2003,33,2003-08-11,2003-08-17,,719,,,15,,4,19,,,0,0,19,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2003,34,2003-08-18,2003-08-24,,663,,,18,,7,25,,,0,0,25,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2003,35,2003-08-25,2003-08-31,,634,1,,12,,6,19,,,0,0,19,,Local Outbreak
Chile,Region of the Americas of WHO,Temperate South America,2003,36,2003-09-01,2003-09-07,,519,,,4,,8,12,,,0,0,12,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,37,2003-09-08,2003-09-14,,380,,,1,,2,3,,,0,0,3,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,38,2003-09-15,2003-09-21,,483,,,5,,2,7,,,0,0,7,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,39,2003-09-22,2003-09-28,,426,,,2,,2,4,,,0,0,4,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,40,2003-09-29,2003-10-05,,380,,,1,,2,3,,,0,0,3,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,41,2003-10-06,2003-10-12,,371,,,,,2,2,,,0,0,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,42,2003-10-13,2003-10-19,,367,,,,,3,3,,,0,0,3,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,43,2003-10-20,2003-10-26,,332,,,,,1,1,,,0,0,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,44,2003-10-27,2003-11-02,,317,,,,,1,1,,,0,0,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,45,2003-11-03,2003-11-09,,344,,,,,1,1,,,0,0,1,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,46,2003-11-10,2003-11-16,,291,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,47,2003-11-17,2003-11-23,,264,,,,,,0,,,0,0,0,,No Activity
Chile,Region of the Americas of WHO,Temperate South America,2003,48,2003-11-24,2003-11-30,,230,,,,,2,2,,,0,0,2,,Sporadic
Chile,Region of the Americas of WHO,Temperate South America,2003,49,2003-12-01,2003-12-07,,192,,,,,2,2,,,0,0,2,,Sporadic
